x y t s
0.605492 40.697108 "2022-12-26 08:28:07+00:00" 1
0.605494 40.697061 "2022-12-26 08:28:08+00:00" 1
0.605494 40.697061 "2022-12-26 08:28:08+00:00" 1
0.605501 40.697014 "2022-12-26 08:28:09+00:00" 1
0.605501 40.697014 "2022-12-26 08:28:09+00:00" 1
0.605512 40.69692 "2022-12-26 08:28:10+00:00" 1
0.605512 40.69692 "2022-12-26 08:28:10+00:00" 1
0.605514 40.696875 "2022-12-26 08:28:11+00:00" 1
0.605514 40.696875 "2022-12-26 08:28:11+00:00" 1
0.605516 40.696826 "2022-12-26 08:28:12+00:00" 1
0.605516 40.696826 "2022-12-26 08:28:12+00:00" 1
0.605521 40.696777 "2022-12-26 08:28:13+00:00" 1
0.605521 40.696777 "2022-12-26 08:28:13+00:00" 1
0.605526 40.69673 "2022-12-26 08:28:14+00:00" 1
0.605526 40.69673 "2022-12-26 08:28:14+00:00" 1
0.60553 40.696679 "2022-12-26 08:28:15+00:00" 1
0.60553 40.696679 "2022-12-26 08:28:15+00:00" 1
0.605533 40.69663 "2022-12-26 08:28:16+00:00" 1
0.605533 40.69663 "2022-12-26 08:28:16+00:00" 1
0.605537 40.69658 "2022-12-26 08:28:17+00:00" 1
0.605537 40.69658 "2022-12-26 08:28:17+00:00" 1
0.605539 40.696531 "2022-12-26 08:28:18+00:00" 1
0.605539 40.696531 "2022-12-26 08:28:18+00:00" 1
0.605544 40.696481 "2022-12-26 08:28:19+00:00" 1
0.605544 40.696481 "2022-12-26 08:28:19+00:00" 1
0.605544 40.696431 "2022-12-26 08:28:20+00:00" 1
0.605544 40.696431 "2022-12-26 08:28:20+00:00" 1
0.605552 40.69638 "2022-12-26 08:28:21+00:00" 1
0.605552 40.69638 "2022-12-26 08:28:21+00:00" 1
0.605558 40.696331 "2022-12-26 08:28:22+00:00" 1
0.605558 40.696331 "2022-12-26 08:28:22+00:00" 1
0.605558 40.696281 "2022-12-26 08:28:23+00:00" 1
0.605558 40.696281 "2022-12-26 08:28:23+00:00" 1
0.605563 40.696227 "2022-12-26 08:28:24+00:00" 1
0.605563 40.696227 "2022-12-26 08:28:24+00:00" 1
0.605565 40.696178 "2022-12-26 08:28:25+00:00" 1
0.605565 40.696178 "2022-12-26 08:28:25+00:00" 1
0.60557 40.696124 "2022-12-26 08:28:26+00:00" 1
0.60557 40.696124 "2022-12-26 08:28:26+00:00" 1
0.605577 40.696074 "2022-12-26 08:28:27+00:00" 1
0.605577 40.696074 "2022-12-26 08:28:27+00:00" 1
0.60558 40.696018 "2022-12-26 08:28:28+00:00" 1
0.60558 40.696018 "2022-12-26 08:28:28+00:00" 1
0.605584 40.695966 "2022-12-26 08:28:29+00:00" 1
0.605584 40.695966 "2022-12-26 08:28:29+00:00" 1
0.605589 40.695912 "2022-12-26 08:28:30+00:00" 1
0.605589 40.695912 "2022-12-26 08:28:30+00:00" 1
0.605596 40.695856 "2022-12-26 08:28:31+00:00" 1
0.605596 40.695856 "2022-12-26 08:28:31+00:00" 1
0.605603 40.695798 "2022-12-26 08:28:32+00:00" 1
0.605603 40.695798 "2022-12-26 08:28:32+00:00" 1
0.605603 40.695746 "2022-12-26 08:28:33+00:00" 1
0.605603 40.695746 "2022-12-26 08:28:33+00:00" 1
0.605606 40.695693 "2022-12-26 08:28:34+00:00" 1
0.605606 40.695693 "2022-12-26 08:28:34+00:00" 1
0.605607 40.695639 "2022-12-26 08:28:35+00:00" 1
0.605607 40.695639 "2022-12-26 08:28:35+00:00" 1
0.605611 40.695584 "2022-12-26 08:28:36+00:00" 1
0.605611 40.695584 "2022-12-26 08:28:36+00:00" 1
0.605617 40.695532 "2022-12-26 08:28:37+00:00" 1
0.605617 40.695532 "2022-12-26 08:28:37+00:00" 1
0.605617 40.695479 "2022-12-26 08:28:38+00:00" 1
0.605617 40.695479 "2022-12-26 08:28:38+00:00" 1
0.605621 40.695421 "2022-12-26 08:28:39+00:00" 1
0.605621 40.695421 "2022-12-26 08:28:39+00:00" 1
0.605624 40.695369 "2022-12-26 08:28:40+00:00" 1
0.605624 40.695369 "2022-12-26 08:28:40+00:00" 1
0.605632 40.695318 "2022-12-26 08:28:41+00:00" 1
0.605632 40.695318 "2022-12-26 08:28:41+00:00" 1
0.605635 40.695262 "2022-12-26 08:28:42+00:00" 1
0.605635 40.695262 "2022-12-26 08:28:42+00:00" 1
0.605643 40.69521 "2022-12-26 08:28:43+00:00" 1
0.605643 40.69521 "2022-12-26 08:28:43+00:00" 1
0.605648 40.695153 "2022-12-26 08:28:44+00:00" 1
0.605648 40.695153 "2022-12-26 08:28:44+00:00" 1
0.605648 40.695097 "2022-12-26 08:28:45+00:00" 1
0.605648 40.695097 "2022-12-26 08:28:45+00:00" 1
0.605651 40.695046 "2022-12-26 08:28:46+00:00" 1
0.605651 40.695046 "2022-12-26 08:28:46+00:00" 1
0.605659 40.694996 "2022-12-26 08:28:47+00:00" 1
0.605659 40.694996 "2022-12-26 08:28:47+00:00" 1
0.605664 40.69494 "2022-12-26 08:28:48+00:00" 1
0.605664 40.69494 "2022-12-26 08:28:48+00:00" 1
0.605669 40.694884 "2022-12-26 08:28:49+00:00" 1
0.605669 40.694884 "2022-12-26 08:28:49+00:00" 1
0.605669 40.694829 "2022-12-26 08:28:50+00:00" 1
0.605669 40.694829 "2022-12-26 08:28:50+00:00" 1
0.605673 40.694775 "2022-12-26 08:28:51+00:00" 1
0.605673 40.694775 "2022-12-26 08:28:51+00:00" 1
0.605688 40.694727 "2022-12-26 08:28:52+00:00" 1
0.605688 40.694727 "2022-12-26 08:28:52+00:00" 1
0.605711 40.694681 "2022-12-26 08:28:53+00:00" 1
0.605711 40.694681 "2022-12-26 08:28:53+00:00" 1
0.605743 40.694632 "2022-12-26 08:28:54+00:00" 1
0.605743 40.694632 "2022-12-26 08:28:54+00:00" 1
0.605783 40.694588 "2022-12-26 08:28:55+00:00" 1
0.605783 40.694588 "2022-12-26 08:28:55+00:00" 1
0.605832 40.694549 "2022-12-26 08:28:56+00:00" 1
0.605832 40.694549 "2022-12-26 08:28:56+00:00" 1
0.605888 40.694515 "2022-12-26 08:28:57+00:00" 1
0.605888 40.694515 "2022-12-26 08:28:57+00:00" 1
0.605943 40.694474 "2022-12-26 08:28:58+00:00" 1
0.605943 40.694474 "2022-12-26 08:28:58+00:00" 1
0.605999 40.694441 "2022-12-26 08:28:59+00:00" 1
0.605999 40.694441 "2022-12-26 08:28:59+00:00" 1
