Name,Class,Latitude,Longitude
Castell de Ceuró,Castells,42.019417,1.373556
Castell de Cinc Claus,Castells,42.137245,3.100883
Castell de Ciutadilla ,Castells,41.56089,1.140824
Castell de Clarà,Castells,41.820282,2.080168
Castell de Clarà,Castells,41.149982,1.41748
Castell de Claramunt,Castells,41.55484,1.66942
Castell de Claravalls,Castells,41.702827,1.126158
Castell de Claret,Castells,42.154263,0.867888
Castell de Claret de Cavallers,Castells,41.821667,1.64667
Castell de Claret,Castells,41.820831,1.464073
Castell de Clariana,Castells,41.586498,1.500455
Castell de Clariana,Castells,41.935886,1.620559
Castell de Claverol,Castells,42.245064,0.986956
Castell de Clua,Castells,41.946999,1.016823
Castell de Coaner,Castells,41.832756,1.713213
Castell de Collbató ,Castells,41.569424,1.830125
Castell de Colltort,Castells,42.13229,2.532727
Castell de Colomers,Castells,42.084108,2.987518
Castell de Comiols,Castells,42.025372,1.101001
Castell de Concabella,Castells,41.751526,1.234991
Castell de Conesa ,Castells,41.518925,1.291419
Castell de Conill,Castells,41.725761,1.460444
Castell de Conques,Castells,42.119568,1.010951
Castell de Corbera ,Castells,41.417992,1.922831
Castell de Corbera d’Ebre ,Castells,41.078333,0.476111
Castell de Corbins,Castells,41.692578,0.694783
Castell de Corçà ,Castells,41.989883,3.017874
Castell de Corçà,Castells,42.030342,0.686063
Castell de Cornellà,Castells,41.35384,2.071699
Castell de Cornellà,Castells,42.089893,2.817653
Castell de Cornet,Castells,41.862476,1.91242
Castell de Creixell,Castells,42.222816,2.926322
Castell de Creixell ,Castells,41.168213,1.4411
Castell de Cruïlles,Castells,41.780396,2.255802
Castell de Cubelles ,Castells,41.207798,1.672475
Castell de Cubells,Castells,41.851204,0.958664
Castell de Cunit ,Castells,41.197323,1.633039
Castell de Dosquers,Castells,42.196701,2.750916
Castell de Dosrius ,Castells,41.600292,2.404355
Castell de Dusfort,Castells,41.740508,1.493289
Castell de Falgars,Castells,42.255802,2.730502
Castell de Falgons,Castells,42.107716,2.663251
Castell de Falset ,Castells,41.145355,0.816464
Castell de Farners,Castells,41.860382,2.631212
Castell de Ferran,Castells,41.537548,1.189206
Castell de Ferran,Castells,41.145836,1.359054
Castell de Figuerola de Meià,Castells,41.974682,0.890759
Castell de Finestres,Castells,42.111885,2.593004
Castell de Finestres,Castells,42.038369,3.034686
Castell de Florejacs ,Castells,41.800396,1.214062
Castell de Fluvià,Castells,41.722111,2.414608
Castell de Foix,Castells,41.414867,1.563639
Castell de Foixà ,Castells,42.036098,3.000756
Castell de Fonolleres,Castells,42.021267,3.052397
Castell de Fonolleres,Castells,41.657997,1.202614
Castell de Font-Rubí ,Castells,41.439556,1.58724
Castell de Fontanilles ,Castells,42.009739,3.107393
Castell de Fontllonga,Castells,41.971542,0.858886
Castell de Forès ,Castells,41.494377,1.238242
Castell de Fornells,Castells,41.926228,2.802662
Castell de Fornils,Castells,42.020203,2.514968
Castell de Freixenet,Castells,42.097946,2.116555
Castell de Fulleda ,Castells,41.464119,1.023523
Castell de Gaià ,Castells,41.918877,1.919571
Castell de Gallifa ,Castells,41.688072,2.111306
Castell de Gandesa,Castells,41.053351,0.436411
Castell de Gardeny,Castells,41.608742,0.614516
Castell de Garraf,Castells,41.259117,1.901093
Castell de Gavarra,Castells,42.104382,1.196281
Castell de Gebut,Castells,41.513727,0.4724
Castell de Gelida ,Castells,41.43576,1.87039
